filename,notes,authors,licenses,urls
facial/earrings/simple/left/adult/black.png,"","bluecarrot16","CC0","https://opengameart.org/content/lpc-pirates"
neck/tie/necktie/female/black.png,"Originally by pennomi/laetissima/Makrohn, edited by bluecarrot16, animations and recolors by JaidynReiman","JaidynReiman,bluecarrot16,Thane Brimhall (pennomi),laetissima,Makrohn","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-2-characters,https://opengameart.org/content/lpc-gentleman"
dress/sash/female/teal.png,"adapted to v3 bases and recolored by bluecarrot16","bluecarrot16,Thane Brimhall (pennomi),laetissima,Matthew Krohn (makrohn)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-2-characters"
torso/clothes/shortsleeve/shortsleeves/female/teal.png,"original by ElizaWy, edited to v3 bases by bluecarrot16; cleanup, split sleeves, and climb/jump/run/sit/emote/revised combat adapted from LPC Revised by JaidynReiman","bluecarrot16,ElizaWy,JaidynReiman,Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-7-womens-shirts,http://opengameart.org/content/lpc-clothing-updates,https://opengameart.org/content/lpc-revised-character-basics,https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more,https://opengameart.org/content/lpc-expanded-simple-shirts"
torso/clothes/sleeveless/sleeveless1/female/teal.png,"original by ElizaWy walkcycle only; extended to all animations by adapting from longsleeve, edited to v3 bases by bluecarrot16; sleeveless variant by JaidynReiman","bluecarrot16,ElizaWy,JaidynReiman,Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-7-womens-shirts,http://opengameart.org/content/lpc-revised-character-basics,http://opengameart.org/content/lpc-clothing-updates,https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more,https://opengameart.org/content/lpc-expanded-simple-shirts"
torso/clothes/corset/female/teal.png,"original by Nila122, recolored by ElizaWy","ElizaWy,Nila122","OGA-SA 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair,https://opengameart.org/content/lpc-7-womens-shirts"
cape/tattered/female/black.png,"","Nila122,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://opengameart.org/content/lpc-roman-armor"
cape/tattered_behind/black.png,"","Nila122,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://opengameart.org/content/lpc-roman-armor"
cape/trim/female/black.png,"isolated stripe from cape_trimmed, adapted to v3 bases by bluecarrot16","bluecarrot16,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,http://opengameart.org/content/lpc-clothing-updates"
legs/shorts/shorts/thin/teal.png,"Original bases by Redshrike, thrust/shoot bases by Wulax, original shorts by ElizaWy, climb/jump/run/sit/emotes/revised combat by JaidynReiman","ElizaWy,JaidynReiman,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more,https://opengameart.org/content/lpc-expanded-pants"
feet/shoes/revised/thin/black.png,"original by ElizaWy, remaining frames by JaidynReiman","ElizaWy,JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more,https://opengameart.org/content/lpc-expanded-socks-shoes"
weapon/magic/wand/female/wand.png,"","Matthew Krohn (makrohn)","CC-BY-SA 3.0,GPL 3.0,OGA-BY 3.0","https://opengameart.org/content/lpc-wands"
